8,K/H,Stanoviště,Volací znak / SPZ,Aplikace Výjezdy (kód),Aktivace IS,Kontrola,MAP,Adresa,Inv. čísla 1,RDP 1,XCover IMEI 1,I,SIM 1,Inv. čísla 2,RDP 2,XCover IMEI 2,I,SIM2,Poznámka,Aktivace,kontrola,Aktivace,
Ondrák,MT2025,Mělník RZP 1,ZKL 211 - 5SE8608,cf9cb6a6af5b,X,,💣,"Bezručova 3409, 276 01 Mělník",D09220769,NOVA KONF,352075820839682,h,731 137 054,D09220860,NOVA KONF,352075820889588,ha,705764090,a3d66b99504e,X,,,
Ondrák,chybí řidič,Mělník RZP 2,ZKL 212 - 5SJ2607,5282989f84fe,X,,💣,"Bezručova 3409, 276 01 Mělník",D09220770,NOVA KONF,352075820889455,h,731 137 056,D09220861,NOVA KONF,352075820885198,ha,705764091,e6beb8b2b182,X,,,
Ondrák,RDP,Neratovice RZP,ZKL 215 - 6SF8605,8dd05374d4a5,X,,💣,"Ed. Urxe 1027, 277 11, Neratovice",D09220771,,352075820884076,h,731 137 055,D09220862,,352075820889406,ha,705764092,347cc0ab94c0,X,,,
Ondrák,RDP,Benátky RZP,ZKL 252 - 5SJ3428,9deb441a024a,X,,💣,"Pražská 78, Benátky n. Jizerou",D09220778,,352075820888473,h,731 137 074,D09220863,,352075820919625,ha,705764093,c93f4d6326de,X,,,
Ondrák,MT2025,Mladá Boleslav RV,ZKL 250 - 6SU8455,302fd362d42a,X,,💣,"Laurinova 333, 293 01 Mladá Boleslav",D09220779,NOVA KONF,352075820831788,h,605 203 808,D09220864,NOVA KONF,352075820883573,ha,705764094,56a9160dbc50,X,,,
Ondrák,MT2025,Mladá Boleslav RZP 1,ZKL 254 - 6SF8597,1503e3cc09f9,X,,💣,"Laurinova 333, 293 01 Mladá Boleslav",D09220780,NOVA KONF,352075820885677,h,731 137 073,D09220865,NOVA KONF,352075820915763,ha,705764095,a56a57d0a2f4,X,,,
Ondrák,MT2025,Mladá Boleslav RZP 2,ZKL 258 - 5SE8607,9d8c367894f6,X,,💣,"Laurinova 333, 293 01 Mladá Boleslav",D09220781,NOVA KONF,352075820837629,h,731 137 071,D09220866,NOVA KONF,352075820918312,ha,705764096,175d9397142e,X,,,
Ondrák,RDP,Mnichovo Hradiště RZP,ZKL 251 - 6SF8598,56ec69bf6fed,X,,💣,"Jiráskova 1533, 259 01 Mnichovo Hradiště",D09220782,,352075820886196,h,731 137 072,D09220867,,352075820924815,ha,705764097,9cb84d2e8f06,X,,,
Ondrák,RDP,Lysá nad Labem RZP,ZKL 313 - 5SB1803,ef728b2ba41f,X,,💣,"Masarykova 214, 289 22 Lysá n/L.",D09220783,,352075820915326,h,731 137 009,D09220868,,352075820831416,ha,705764098,5f48f2da2756,X,ok,Opraveno,
Ondrák,RDP,Městec Králové RZP,ZKL 325 - 4SF0516,c91e7737f92b,X,,💣,"Prezidenta Beneše 343, 289 03 Městec Králové",D09220784,,352075820918387,h,731 137 040,D09220869,,352075820884761,ha,705764099,037eff57fe2b,X,,,
Ondrák,MT2025,Nymburk RV,ZKL 310 - 6SL8469,090d627573d3,X,,💣,"B. Smetany 55/28, 288 02 Nymburk 2",D09220785,NOVA KONF,352075820915789,h,731 137 007,D09220870,NOVA KONF,352075820889570,ha,705764100,3e43c3829cfc,X,,,
Ondrák,chybí,Nymburk RZP 1,ZKL 311 - 5SJ2902,256435abd600,X,,💣,"B. Smetany 55/28, 288 02 Nymburk 2",D09220786,,352075820889224,h,731 137 038,D09220871,,352075820866933,ha,705764101,0a51af7cf4a0,X,ok,Opraveno,
Ondrák,MT2025,Nymburk RZP 2,ZKL 312 - 5SJ3178,63cc17decba2,X,,💣,"B. Smetany 55/28, 288 02 Nymburk 2",D09220787,NOVA KONF,352075820888366,h,731 137 039,D09220872,NOVA KONF,352075820840383,ha,705764102,210d9e1d4e8d,X,,,
,motorola,Nymburk RZP 2,ZKL 801,,,,,dočasně od 3.7.2025,,,,,604 778 609,,,,,,,,,,
Ondrák,MT2025,Čáslav RZP 1,ZKL 355 - 6SF8573,c289bd244186,X,,💣,"Jeníkovská 348, 286 01 Čáslav",D09220788,NOVA KONF,352075820889810,h,731 137 064,D09220873,NOVA KONF,352075820889745,ha,705764103,20cf62cdf63d,X,ok,,
Ondrák,MT2025,Čáslav RZP 2,ZKL 358 - 2SD2601,7ddebd75b6e2,X,,💣,"Jeníkovská 348, 286 01 Čáslav",D09220789,NOVA KONF,352075820888291,h,731 137 048,D09220874,NOVA KONF,352075820917116,ha,705764104,a011b967cb04,X,ok,,
Ondrák,MT2025,Kutná Hora RV,ZKL 350 - 3SJ3919,1cd56d0cbc8f,X,,💣,"Vojtěšská 687, 284 00 Kutná Hora",D09220790,NOVA KONF,352075820888317,h,603 563 752,D09220875,NOVA KONF,352075820918221,ha,705764105,41adfed5a488,X,ok,,
Ondrák,MT2025,Kutná Hora RZP 1,ZKL 351 - 5SE8612,73f2ea78ffa3,X,,💣,"Vojtěšská 687, 284 00 Kutná Hora",D09220791,NOVA KONF,352075820889257,h,731 137 103,D09220876,NOVA KONF,352075820860498,ha,705764106,c7f4d4bc2c7e,X,ok,,
Ondrák,MT2025,Kutná Hora RZP 2,ZKL 352 - 5SK7117,206b15303f4f,X,,💣,"Vojtěšská 687, 284 00 Kutná Hora",D09220792,NOVA KONF,352075820889323,h,731 137 045,D09220877,NOVA KONF,352075820835912,ha,705764107,3ca63b6b8a90,X,ok,,
Ondrák,MT2025,Uhlířské Janovice RZP,ZKL 354 - 4SF0517,e45c14662d9b,X,,💣,"Zdravotní 108, 285 04 Uhlířské Janovice",D09220793,NOVA KONF,352075820889026,h,731 137 050,D09220878,NOVA KONF,352075820884829,ha,705764108,87ce68e5e7fb,X,ok,,
Ondrák,RDP,Zbraslavice RV,ZKL 360 - 4ST7504,f778f0c80e36,X,,💣,"Zbraslavice 329, 285 21",D09220794,,352075820885321,h,737 213 893,D09220879,NOVA KONF,352075820889463,ha,705764109,01f6e6b46016,X,ok,,
Ondrák,RDP,Zruč nad Sázavou RZP,ZKL 353 - 5SJ2935,f8be005421e0,X,,💣,"Poštovní 593, 285 22 Zruč nad Sázavou",D09220795,,352075820889844,h,731 137 049,D09220880,,352075820889190,ha,705764110,ef6f2f14c1a8,X,ok,,
Ondrák,RDP,Český Brod RZP,ZKL 615 - 5SB1802,383031022568,X,,💣,"Žižkova 282, 282 01 Český Brod",D09220772,,352075820890206,h,731 137 035,D09220881,,352075820889216,ha,705764111,d27084ff4c3a,X,ok,,
Ondrák,MT2025,Kolín RV,ZKL 370 - 5SJ4502,f0c078fcee26,X,,💣,"Žižkova 146, 280 02 Kolín",D09220773,NOVA KONF,352075820887392,h,603 563 749,D09220882,NOVA KONF,352075820831374,ha,705764112,ba581e3779da,X,ok,,
Ondrák,MT2025,Kolín RZP 1,ZKL 371 - 6SF8583,1c60e8e47e42,X,,💣,"Žižkova 146, 280 02 Kolín",D09220774,NOVA KONF,352075820884068,h,731 137 034,D09220883,NOVA KONF,352075820886014,ha,705764113,51b522ae782f,X,ok,,
Ondrák,MT2025,Kolín RZP 2,ZKL 372 - 6SF8607,439b82289e5a,X,,💣,"Žižkova 146, 280 02 Kolín",D09220775,NOVA KONF,352075820889711,h,731 137 033,D09220884,NOVA KONF,352075820918353,ha,705764114,19b9892a385b,X,ok,,
Ondrák,MT2025,Kolín RZP 3 sek.,ZKL 373 - 3SU6620,5aa7b68e0da6,X,,💣,"Žižkova 146, 280 02 Kolín",D09220776,NOVA KONF,352075820888663,h,731 137 037,D09220885,NOVA KONF,352075820889414,ha,705764115,6c057c7c7dcd,X,ok,,Kr
Ondrák,RDP,Kostelec nad Černými lesy RZP,ZKL 374 - 5SJ2590,dbe491da3c84,X,,💣,"K Jatkám 428, 281 63 Kostelec n./Č. Lesy",D09220777,,352075820889000,h,731 137 036,D09220886,,352075820886253,ha,705764116,9c0849c8dbd6,X,ok,,
Ondrák,MT2025,Benešov RV,ZKL 410 - 6SU8632,7350a464e8fb,X,,💣,"Máchova 400, 256 01 Benešov",D09220796,NOVA KONF,352075820888770,h,731 137 013,D09220893,NOVA KONF,352075820888812,h,705762532,57c3d1694f7f,X,"1,3",posadka 1,Tarif 2 Pro Firmu bez závazku
Ondrák,MT2025,Benešov RZP 1,ZKL 411 - 6SF8593,e8fd53ffee1c,X,,💣,"Máchova 400, 256 01 Benešov",D09220797,NOVA KONF,352075820884837,h,605 203 804,D09220894,NOVA KONF,352075820885347,h,705762533,0db1fccda43e,X,"1,7",posadka 2,Tarif 2 Pro Firmu bez závazku
Ondrák,MT2025,Benešov RZP 2,ZKL 412 - 6SF8604,e90ce644fca4,X,,💣,"Máchova 400, 256 01 Benešov",D09220818,NOVA KONF,352075820827794,h,605 203 805,D09220895,NOVA KONF,352075820888796,h,705762534,cb215e20d763,X,"1,9",posadka 3,Tarif 2 Pro Firmu bez závazku
Ondrák,osobně,Vlašim RV,ZKL 420 - 4SA7361,4feb7d38f391,X,,💣,"J. Masaryka 1711, 258 01 Vlašim",D09220819,,352075820882526,h,605 203 812,D09220896,,352075820889851,h,705762535,4b8b954fb1fb,X,"1,9",posadka 4,Tarif 2 Pro Firmu bez závazku
Ondrák,osobně,Vlašim RZP 1,ZKL 421 - 5SB1805,f57ce84c17ac,X,,💣,"J. Masaryka 1711, 258 01 Vlašim",D09220820,,352075820838783,h,605 203 806,D09220897,,352075820888614,h,705762536,0fdf24d841e5,X,"1,9",posadka 5,Tarif 2 Pro Firmu bez závazku
Ondrák,osobně,Vlašim RZP 2,ZKL 422 - 5SB1806,a1ae2a903e5f,X,,💣,"J. Masaryka 1711, 258 01 Vlašim",D09220821,,352075820865851,h,605 203 807,D09220898,,352075820866149,h,705762537,96c1f3f7abf8,X,"1,9",posadka 6,Tarif 2 Pro Firmu bez závazku
Ondrák,RDP,Votice RZP,ZKL 413 - 4SF0519,b7ce83242e8b,X,,💣,"Pražská 290, 259 01 Votice",D09220822,,352075820885545,h,737 213 890,D09220899,,352075820885909,h,705762538,3415bae75613,X,"1,9",posadka 7,Tarif 2 Pro Firmu bez závazku
Ondrák,RDP,Vranov RZP,ZKL 414 - 5SB1801,748e4d031757,X,,💣,"Vranov 58, 257 22 Čerčany",D09220823,,352075820832000,h,731 137 044,D09220900,,352075820838809,h,705762539,6382763d2f0a,X,"1,9",posadka 8,Tarif 2 Pro Firmu bez závazku
Ondrák,RDP,Březnice RZP,ZKL 514 - 4SF0518,c765f2649015,X,,💣,"Sadová 618, Březnice, 262 72 Březnice",D09220824,,352075820832091,h,731 137 067,D09220887,,352075820884050,h,705764117,7db9da4e8bf1,X,ok,,
Ondrák,RDP,Dobříš RZP,ZKL 513 - 5SE8609,4efeb216927e,X,,💣,"Průmyslová 2121, 263 01 Dobříš",D09220825,,352075820865299,h,731 137 086,D09220888,,352075820887848,ha,705764118,55d843467145,X,ok,,
Ondrák,RDP,Krásná Hora RZP,ZKL 516 - 6SF8584,bee06ce17425,X,,💣,"Krásná Hora nad Vltavou 192, 262 55",D09220826,,352075820868053,h,731 137 005,D09220889,,352075820885891,ha,705764119,5b2710303361,X,ok,,
Ondrák,osobně,Příbram RV,ZKL 510 - 6SU8639,68e50c2d3bea,X,,💣,"Školní 70, 261 95 Příbram VIII.",D09220827,,352075820827786,h,731 137 085,D09220890,,352075820888705,ha,705764120,b079dbc20ce9,X,ok,,
Ondrák,osobně,Příbram RZP 1,ZKL 515 - 5SE8610,a91d491b8843,X,,💣,"Školní 70, 261 95 Příbram VIII.",D09220828,,352075820897284,h,731 137 083,D09220891,,352075820888671,ha,705764121,1a3b304954bd,X,ok,,
Ondrák,osobně,Příbram RZP 2,ZKL 512 - 3SU6713,d5f7eb6d0faf,X,,💣,"Školní 70, 261 95 Příbram VIII.",D09220829,,352075820892202,h,731 137 080,D09220892,,352075820889232,ha,705764122,79a2b9c4a490,X,ok,,
Ondrák,osobně,Příbram RZP 3,ZKL 511 - 6SF8596,178289fa6d89,X,,💣,"Školní 70, 261 95 Příbram VIII.",D09220830,,352075820915748,h,731 137 082,D09220817,,352075820888903,ha,705764134,1113b4b453ae,X,ok,,
Wolf,MT2025,Orlík RZP / člun,,69347268e33f,x,,💣,"Chrást 56, Kovář",D09220759,NOVA KONF,352075820887277,,705539606,D09220850,NOVA KONF,352075821077654,,705539608,1160e67ae071,x,ok,,
Ondrák,osobně,Sedlčany RV,ZKL 520 - 5SE8677,e5b92a1fb39e,X,,💣,"Tyršova 160, 264 01 Sedlčany",D09220831,,352075820892590,h,731 137 087,D09220806,,352075820868277,ha,705764124,c2701828351a,X,ok,,
Ondrák,osobně,Sedlčany RZP 1,ZKL 521 - 5SJ3170,374837952bbe,X,,💣,"Tyršova 160, 264 01 Sedlčany",D09220832,,352075820915730,h,731 137 088,D09220808,,352075820889240,ha,705764125,4cb46ce0f06b,X,ok,,
Ondrák,osobně,Sedlčany RZP 2,ZKL 522 - 4SF0524,573a26b03eaa,X,,💣,"Tyršova 160, 264 01 Sedlčany",D09220833,,352075820840409,h,731 137 155,D09220809,,352075820886105,ha,705764126,55c193c22c1c,X,ok,,
Ondrák,MT2025,Beroun RV,ZKL 550 - 3SJ3899,dcd412ea1547,X,,💣,"Prof. Veselého 461, 266 01 Beroun",D09220834,NOVA KONF,352075820831614,h,731 137 090,D09220805,NOVA KONF,352075820889422,ha,705764127,e2077f7e0163,X,ok,,
Ondrák,MT2025,Beroun RZP,ZKL 551 - 5SE8613,a2e4bd6f9d61,X,,💣,"Prof. Veselého 461, 266 01 Beroun",D09220835,NOVA KONF,352075820915318,h,731 137 091,D09220811,NOVA KONF,352075820837710,ha,705764128,7348de638229,X,ok,,
,MT2025,Beroun RZP 2,ZKL 552 - 5SE8613 ,5c5a0fb9ecd0,,,💣,"Prof. Veselého 461, 266 01 Beroun",D09220803,NOVA KONF,352075820827851,,705 762 520,D09220804,NOVA KONF,352075820827802,,705762521,8548d4237dbc,,,,
Ondrák,RDP,Hořovice RLP,ZKL 555 - 5SE8611,5cf43c429472,X,,💣,"Pod Nádražím 654, 26801 Hořovice",D09220836,,352075820924740,h,731 137 092,D09220812,,352075820836381,ha,705764129,409bee7fa9ee,X,ok,,
Ondrák,RDP,Hořovice RZP,ZKL 553 - 6SF8578,7bf0d0e0abee,X,,💣,"Pod Nádražím 654, 26801 Hořovice",D09220837,,352075820917041,h,731 137 093,D09220813,,352075820884225,ha,705764130,a940daf35af0,X,ok,,
Ondrák,MT2025,Hostivice RV,ZKL 560 - 4SY8121,9f621c980b1e,X,,💣,"Tyršova 201, Hostivice",D09220838,NOVA KONF,352075820884654,h,604 208 293,D09220814,NOVA KONF,352075820884217,ha,705764131,5d80d9d300ad,X,ok,,
Ondrák,MT2025,Hostivice RZP,ZKL 561 - 5SJ2927,aab08c4c0cb2,X,,💣,"Tyršova 201, Hostivice",D09220839,NOVA KONF,352075820880959,h,731 137 017,D09220815,NOVA KONF,352075820885610,ha,705764132,50c0a6bf6273,X,ok,,
Ondrák,MT2025,Zdice RZP,ZKL 558 - 4SF0515,33fc2258497c,X,,💣,"Čs. armády 18, Zdice",D09220840,NOVA KONF,352075820883359,h,731 137 108,D09220816,NOVA KONF,352075820885602,ha,705764133,38368b19ffeb,X,ok,,
Ondrák,RDP,Hradiško RZP,ZKL 556 - 4SB9177,1d3b13599b17,x,,💣,"Ve dvoře 3, 252 09 Hradištko",D09220798,,352075820827778,h,705 762 550,D09220802,,352075820885354,ha,705762551,cc5c3c3d6544,X,ok,,
,MT2025,Černošice RZP,ZKL 653 - 5SB1804,12beeba7b73b,,,💣,"Ve dvoře 3, 252 09 Hradištko",D09241065,NOVA KONF,355241322850596,,604779112,D09241066,NOVA KONF,355241322806655,ha,604779032,8db69f0d9788,,,,
Ondrak,MT2025,Brandýs nad Labem RV,ZKL 620 - 5SE8676,f0fdadd986be,X,,💣,"Fr. Melichara 370, 251 01, Brandýs n. L.",D09220841,NOVA KONF,352075820880843,h,731 137 124,D09220901,NOVA KONF,352075820871412,h,705762540,fed7713659dc,X,2,posadka 9,Tarif 2 Pro Firmu bez závazku
Ondrak,MT2025,Brandýs nad Labem RZP 1,ZKL 621 - 6SF8595,f7371f5e4ea5,X,,💣,"Fr. Melichara 370, 251 01, Brandýs n. L.",D09220842,NOVA KONF,352075820885768,h,731 137 024,D09220902,NOVA KONF,352075820874515,h,705762541,ef3c7ac35812,X,"1,8",posadka 10,Tarif 2 Pro Firmu bez závazku
Ondrak,MT2025,Brandýs nad Labem RZP 2,ZKL 622 - 6SF8591,c9381b578313,X,,💣,"Fr. Melichara 370, 251 01, Brandýs n. L.",D09220843,NOVA KONF,352075820886287,h,731 137 026,D09220903,NOVA KONF,352075820839286,h,705762542,401ead6acd67,X,"1,9",posadka 11,Tarif 2 Pro Firmu bez závazku
Ondrak,RDP,Jesenice RZP,ZKL 614 - 6SR4454,3f644b4b7347,X,,💣,"Budějovická 77, 252 42 Jesenice",D09220844,,352075820885024,h,731 137 097,D09220904,,352075820836308,h,705762543,ad57efe95920,X,2,posadka 12,Tarif 2 Pro Firmu bez závazku
Ondrak,MT2025,Říčany RV,ZKL 610 - 4SY7701,1414b48a6118,X,,💣,"Komenského nám. 1910, 251 01, Říčany",D09220845,NOVA KONF,352075820917785,h,731 137 107,D09220905,NOVA KONF,352075820884910,h,705762544,fd54fe8566b8,X,"1,9",posadka 13,Tarif 2 Pro Firmu bez závazku
Ondrak,MT2025,Říčany RZP 1,ZKL 611 - 5SB1804,bddff6852db9,X,,💣,"Komenského nám. 1910, 251 01, Říčany",D09220846,NOVA KONF,352075820915839,h,731 137 095,D09220906,NOVA KONF,352075820870349,h,705762545,efc270fdf127,X,2,posadka 14,Tarif 2 Pro Firmu bez závazku
Ondrak,MT2025,Říčany RZP 2,ZKL 612 - 5SB1807,fc0909feff26,X,,💣,"Komenského nám. 1910, 251 01, Říčany",D09220847,NOVA KONF,352075820884589,h,731 137 094,D09220907,NOVA KONF,352075820835409,h,705762546,e956b03df754,X,"1,9",posadka 15,Tarif 2 Pro Firmu bez závazku
Ondrak,MT2025,Zdiby RZP,ZKL 613 - 6SR 4822,ec47b40aeaab,X,,💣,"Ústecká 98, 250 66 Zdiby",D09220848,NOVA KONF,352075821077431,h,605 203 820,D09220810,NOVA KONF,352075820883243,h,705764123,b0491c9210d3,,,,
,,,,,,,,,,,,,,D09220800,,352075820836597,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,INSPEKTOŘI - výměna MT,,,,,,,,,,,,,,,,,,,,,
,,IP Kladno - ZKL 130,ZKL 130 - 3SJ3909,7fb27cdde9f8,,,,,D09241061,,355241322837874,,703 847 759,,,,,,,,,,
,,IP Benešov - ZKL 120,ZKL 120 - 4SY8120,f11a1f79d046,,,,,D09241062,,355241322832305,,703 847 754,,,,,,,,,,
,,IP Zdiby - ZKL 140,ZKL 140 - 4ST7500,c2b5cb6e1540,,,,,D09241063,,355241322547234,,703 847 761,,,,,,,,,,
,,IP Kolín - ZKL 160,ZKL 160 - 4ST7505,719ddcea71b3,,,,,D09241064,,355241322828733,,705 762 526,,,,,,,,,,
Zpracováno:,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Reakce posádek na nové telefony ,,,,,,,,,,,,,,,,,,,,,,,705762532
vyzvánění,,,"rády by měli rozlišení zvuk notifikací na upozornění skutečný výjezd, od ostatního",,,,,,,,,,,,,,,,,,,,705762533
hlasitost,,,"hlasitost při aktivním hovoru, nastavena cca na 50-60%, což má za následek, že hovor špatně slyší v terénu, či sanitce",,,,,,,,,,,,,,,,,,,,705762534
kontakty ridici,,,,,,,,,,,,,,,,,,,,,,,705762535
zmena jasu,,,,,,,,,,,,,,,,,,,,,,,705762536
dokonce i velikost pisma,,,,,,,,,,,,,,,,,,,,,,,705762537
,,,,,,,,,,,,,,,,,,,,,,,705762538
,,,ZMĚNY POŽADOVÁNÉ,,,,,,,,,,,,,,,,,,,,705762539
,,,"melodie kontaktu ""Výjezd"" - Atomic Bell [ručně nastavit v telefonu]",,,,,,,,,,,,,,,,,,,,705762540
,,,melodie ostatních kontaktů - Galaxy Bells [ručně nastavit v telefonu],,,,,,,,,,,,,,,,,,,,705762541
,,,konference - stávající stav ok,,,,,,,,,,,,,,,,,,,,705762542
,,,"přidat do seznamu konakty na řidičské telefony ve tvaru ZKL 510R (""R"" jako řidič) [přes Knox, nebude nutno mazat předem kontakty]",,,,,,,,,,,,,,,,,,,,705762543
,,,SOS tlačítko - nastavit vyzvánění na telefonNikoly Konopáskové (3x zmáčknout tlačítko) [ručně nastavit v telefonu],,,,,,,,,,,,,,,,,,,,705762544
,,,"funkce baterky - zkusit najít nějakou aplikaci, která nebude vyžadovat nesmyslná oprávnění a bude mít aktivní ikonku na ploše, případně zdali by šlo nastavit světlo po dobu stisknutí červeného funkčního tlačítka [ručně nastavit v telefonu : v Nastavení - Rozšířené funkce - Boční tlačítko - Nastavení a volba Baterka ] funguje pak na tlačítko zap/vyp telefon dvojitým stisknutím.",,,,,,,,,,,,,,,,,,,,705762545
,,,"jas - automatický ponechat :-) [mám již nastaveno i v Knoxu, jinak je to ale výchozí nastavení v telefonech]",,,,,,,,,,,,,,,,,,,,705762546
,,,"hlasitost hovoru zvednout na cca. 85% (ideálně i hlasitý odposlech) [ručně nastavit v telefonu, v knoxu volbu nemám, lze nastavovat jen při aktivním hovoru]",,,,,,,,,,,,,,,,,,,,
,,,"aktivní možnost ""nerušit"" - prověřit report, že prý posádky mají dostupné a mohou vše ztlumit? [ lze při odemčeném nastavení ikonu schovat, po zamčení i přesto, že se to tváří, že si jí tam znovu obnovíme, tak se to neuloží. DÁLE je možné, ještě v nastavení ikony nerušit nastavit kontakty, které budou zvonit i když je režim nerušit zapnutý ]",,,,,,,,,,,,,,,,,,,,
