skupina;znak;spz;app_vyjezd_1;cela_adresa;inv_cis_sestra;sestra_IMEI;sestra SIM;inv_cis_ridic;ridic_IMEI;ridic_SIM;app_vyjezd_2
Neratovice RZP;ZKL 215 - 6SF8605;6SF8605;8dd05374d4a5;Ed. Urxe 1027, 277 11, Neratovice;D09220771;352075820884076;731137055;D09220862;352075820889406;705764092;347cc0ab94c0
Benátky RZP;ZKL 252 - 5SJ3428;5SJ3428;9deb441a024a;Pražská 78, Benátky n. Jizerou;D09220778;352075820888473;731137074;D09220863;352075820919625;705764093;c93f4d6326de
Mladá Boleslav RV;ZKL 250 - 6SU8455;6SU8455;302fd362d42a;Laurinova 333, 293 01 Mladá Boleslav;D09220779;352075820831788;605203808;D09220864;352075820883573;705764094;56a9160dbc50
Mladá Boleslav RZP 1;ZKL 254 - 6SF8597;6SF8597;1503e3cc09f9;Laurinova 333, 293 01 Mladá Boleslav;D09220780;352075820885677;731137073;D09220865;352075820915763;705764095;a56a57d0a2f4
Mladá Boleslav RZP 2;ZKL 258 - 5SE8607;5SE8607;9d8c367894f6;Laurinova 333, 293 01 Mladá Boleslav;D09220781;352075820837629;731137071;D09220866;352075820918312;705764096;175d9397142e
Mnichovo Hradiště RZP;ZKL 251 - 6SF8598;6SF8598;56ec69bf6fed;Jiráskova 1533, 259 01 Mnichovo Hradiště;D09220782;352075820886196;731137072;D09220867;352075820924815;705764097;9cb84d2e8f06
Lysá nad Labem RZP;ZKL 313 - 5SB1803;5SB1803;ef728b2ba41f;Masarykova 214, 289 22 Lysá n/L.;D09220783;352075820915326;731137009;D09220868;352075820831416;705764098;5f48f2da2756
Městec Králové RZP;ZKL 325 - 4SF0516;4SF0516;c91e7737f92b;Prezidenta Beneše 343, 289 03 Městec Králové;D09220784;352075820918387;731137040;D09220869;352075820884761;705764099;037eff57fe2b
Nymburk RV;ZKL 310 - 6SL8469;6SL8469;090d627573d3;B. Smetany 55/28, 288 02 Nymburk 2;D09220785;352075820915789;731137007;D09220870;352075820889570;705764100;3e43c3829cfc
Nymburk RZP 1;ZKL 311 - 5SJ2902;5SJ2902;256435abd600;B. Smetany 55/28, 288 02 Nymburk 2;D09220786;352075820889224;731137038;D09220871;352075820866933;705764101;0a51af7cf4a0
Nymburk RZP 2;ZKL 312 - 5SJ3178;5SJ3178;63cc17decba2;B. Smetany 55/28, 288 02 Nymburk 2;D09220787;352075820888366;731137039;D09220872;352075820840383;705764102;210d9e1d4e8d
Nymburk RZP 2;ZKL 801 -  4SF0516;4SF0516;;dočasně od 3.7.2025;;;604778609;;;;
Čáslav RZP 1;ZKL 355 - 6SF8573;6SF8573;c289bd244186;Jeníkovská 348, 286 01 Čáslav;D09220788;352075820889810;731137064;D09220873;352075820889745;705764103;20cf62cdf63d
Čáslav RZP 2;ZKL 358 - 2SD2601;2SD2601;7ddebd75b6e2;Jeníkovská 348, 286 01 Čáslav;D09220789;352075820888291;731137048;D09220874;352075820917116;705764104;a011b967cb04
Kutná Hora RV;ZKL 350 - 3SJ3919;3SJ3919;1cd56d0cbc8f;Vojtěšská 687, 284 00 Kutná Hora;D09220790;352075820888317;603563752;D09220875;352075820918221;705764105;41adfed5a488
Kutná Hora RZP 1;ZKL 351 - 5SE8612;5SE8612;73f2ea78ffa3;Vojtěšská 687, 284 00 Kutná Hora;D09220791;352075820889257;731137103;D09220876;352075820860498;705764106;c7f4d4bc2c7e
Kutná Hora RZP 2;ZKL 352 - 5SK7117;5SK7117;206b15303f4f;Vojtěšská 687, 284 00 Kutná Hora;D09220792;352075820889323;731137045;D09220877;352075820835912;705764107;3ca63b6b8a90
Uhlířské Janovice RZP;ZKL 354 - 4SF0517;4SF0517;e45c14662d9b;Zdravotní 108, 285 04 Uhlířské Janovice;D09220793;352075820889026;731137050;D09220878;352075820884829;705764108;87ce68e5e7fb
Zbraslavice RV;ZKL 360 - 4ST7504;4ST7504;f778f0c80e36;Zbraslavice 329, 285 21;D09220794;352075820885321;737213893;D09220879;352075820889463;705764109;01f6e6b46016
Zruč nad Sázavou RZP;ZKL 353 - 5SJ2935;5SJ2935;f8be005421e0;Poštovní 593, 285 22 Zruč nad Sázavou;D09220795;352075820889844;731137049;D09220880;352075820889190;705764110;ef6f2f14c1a8
Český Brod RZP;ZKL 615 - 5SB1802;5SB1802;383031022568;Žižkova 282, 282 01 Český Brod;D09220772;352075820890206;731137035;D09220881;352075820889216;705764111;d27084ff4c3a
Kolín RV;ZKL 370 - 5SJ4502;5SJ4502;f0c078fcee26;Žižkova 146, 280 02 Kolín;D09220773;352075820887392;603563749;D09220882;352075820831374;705764112;ba581e3779da
Kolín RZP 1;ZKL 371 - 6SF8583;6SF8583;1c60e8e47e42;Žižkova 146, 280 02 Kolín;D09220774;352075820884068;731137034;D09220883;352075820886014;705764113;51b522ae782f
Kolín RZP 2;ZKL 372 - 6SF8607;6SF8607;439b82289e5a;Žižkova 146, 280 02 Kolín;D09220775;352075820889711;731137033;D09220884;352075820918353;705764114;19b9892a385b
Kolín RZP 3 sek.;ZKL 373 - 3SU6620;3SU6620;5aa7b68e0da6;Žižkova 146, 280 02 Kolín;D09220776;352075820888663;731137037;D09220885;352075820889414;705764115;6c057c7c7dcd
Kostelec nad Černými lesy RZP;ZKL 374 - 5SJ2590;5SJ2590;dbe491da3c84;K Jatkám 428, 281 63 Kostelec n./Č. Lesy;D09220777;352075820889000;731137036;D09220886;352075820886253;705764116;9c0849c8dbd6
Benešov RV;ZKL 410 - 6SU8632;6SU8632;7350a464e8fb;Máchova 400, 256 01 Benešov;D09220796;352075820888770;731137013;D09220893;352075820888812;705762532;57c3d1694f7f
Benešov RZP 1;ZKL 411 - 6SF8593;6SF8593;e8fd53ffee1c;Máchova 400, 256 01 Benešov;D09220797;352075820884837;605203804;D09220894;352075820885347;705762533;0db1fccda43e
Benešov RZP 2;ZKL 412 - 6SF8604;6SF8604;e90ce644fca4;Máchova 400, 256 01 Benešov;D09220818;352075820827794;605203805;D09220895;352075820888796;705762534;cb215e20d763
Vlašim RV;ZKL 420 - 4SA7361;4SA7361;4feb7d38f391;J. Masaryka 1711, 258 01 Vlašim;D09220819;352075820882526;605203812;D09220896;352075820889851;705762535;4b8b954fb1fb
Vlašim RZP 1;ZKL 421 - 5SB1805;5SB1805;f57ce84c17ac;J. Masaryka 1711, 258 01 Vlašim;D09220820;352075820838783;605203806;D09220897;352075820888614;705762536;0fdf24d841e5
Vlašim RZP 2;ZKL 422 - 5SB1806;5SB1806;a1ae2a903e5f;J. Masaryka 1711, 258 01 Vlašim;D09220821;352075820865851;605203807;D09220898;352075820866149;705762537;96c1f3f7abf8
Votice RZP;ZKL 413 - 4SF0519;4SF0519;b7ce83242e8b;Pražská 290, 259 01 Votice;D09220822;352075820885545;737213890;D09220899;352075820885909;705762538;3415bae75613
Vranov RZP;ZKL 414 - 5SB1801;5SB1801;748e4d031757;Vranov 58, 257 22 Čerčany;D09220823;352075820832000;731137044;D09220900;352075820838809;705762539;6382763d2f0a
Březnice RZP;ZKL 514 - 4SF0518;4SF0518;c765f2649015;Sadová 618, Březnice, 262 72 Březnice;D09220824;352075820832091;731137067;D09220887;352075820884050;705764117;7db9da4e8bf1
Dobříš RZP;ZKL 513 - 5SE8609;5SE8609;4efeb216927e;Průmyslová 2121, 263 01 Dobříš;D09220825;352075820865299;731137086;D09220888;352075820887848;705764118;55d843467145
Krásná Hora RZP;ZKL 516 - 6SF8584;6SF8584;bee06ce17425;Krásná Hora nad Vltavou 192, 262 55;D09220826;352075820868053;731137005;D09220889;352075820885891;705764119;5b2710303361
Příbram RV;ZKL 510 - 6SU8639;6SU8639;68e50c2d3bea;Školní 70, 261 95 Příbram VIII.;D09220827;352075820827786;731137085;D09220890;352075820888705;705764120;b079dbc20ce9
Příbram RZP 1;ZKL 515 - 5SE8610;5SE8610;a91d491b8843;Školní 70, 261 95 Příbram VIII.;D09220828;352075820897284;731137083;D09220891;352075820888671;705764121;1a3b304954bd
Příbram RZP 2;ZKL 512 - 3SU6713;3SU6713;d5f7eb6d0faf;Školní 70, 261 95 Příbram VIII.;D09220829;352075820892202;731137080;D09220892;352075820889232;705764122;79a2b9c4a490
Příbram RZP 3;ZKL 511 - 6SF8596;6SF8596;178289fa6d89;Školní 70, 261 95 Příbram VIII.;D09220830;352075820915748;731137082;D09220817;352075820888903;705764134;1113b4b453ae
Orlík RZP / člun;ZKL 525 - 1S11111;1S11111;69347268e33f;Chrást 56, Kovář;D09220759;352075820887277;705539606;D09220850;352075821077654;705539608;1160e67ae071
Sedlčany RV;ZKL 520 - 5SE8677;5SE8677;e5b92a1fb39e;Tyršova 160, 264 01 Sedlčany;D09220831;352075820892590;731137087;D09220806;352075820868277;705764124;c2701828351a
Sedlčany RZP 1;ZKL 521 - 5SJ3170;5SJ3170;374837952bbe;Tyršova 160, 264 01 Sedlčany;D09220832;352075820915730;731137088;D09220808;352075820889240;705764125;4cb46ce0f06b
Sedlčany RZP 2;ZKL 522 - 4SF0524;4SF0524;573a26b03eaa;Tyršova 160, 264 01 Sedlčany;D09220833;352075820840409;731137155;D09220809;352075820886105;705764126;55c193c22c1c
Beroun RV;ZKL 550 - 3SJ3899;3SJ3899;dcd412ea1547;Prof. Veselého 461, 266 01 Beroun;D09220834;352075820831614;731137090;D09220805;352075820889422;705764127;e2077f7e0163
Beroun RZP;ZKL 551 - 5SE8613;5SE8613;a2e4bd6f9d61;Prof. Veselého 461, 266 01 Beroun;D09220835;352075820915318;731137091;D09220811;352075820837710;705764128;7348de638229
Beroun RZP 2;ZKL 552 - 5SE8613 ;5SE8613;5c5a0fb9ecd0;Prof. Veselého 461, 266 01 Beroun;D09220803;352075820827851;705762520;D09220804;352075820827802;705762521;8548d4237dbc
Hořovice RLP;ZKL 555 - 5SE8611;5SE8611;5cf43c429472;Pod Nádražím 654, 26801 Hořovice;D09220836;352075820924740;731137092;D09220812;352075820836381;705764129;409bee7fa9ee
Hořovice RZP;ZKL 553 - 6SF8578;6SF8578;7bf0d0e0abee;Pod Nádražím 654, 26801 Hořovice;D09220837;352075820917041;731137093;D09220813;352075820884225;705764130;a940daf35af0
Hostivice RV;ZKL 560 - 4SY8121;4SY8121;9f621c980b1e;Tyršova 201, Hostivice;D09220838;352075820884654;604208293;D09220814;352075820884217;705764131;5d80d9d300ad
Hostivice RZP;ZKL 561 - 5SJ2927;5SJ2927;aab08c4c0cb2;Tyršova 201, Hostivice;D09220839;352075820880959;731137017;D09220815;352075820885610;705764132;50c0a6bf6273
Zdice RZP;ZKL 558 - 4SF0515;4SF0515;33fc2258497c;Čs. armády 18, Zdice;D09220840;352075820883359;731137108;D09220816;352075820885602;705764133;38368b19ffeb
Hradiško RZP;ZKL 556 - 4SB9177;4SB9177;1d3b13599b17;Ve dvoře 3, 252 09 Hradištko;D09220798;352075820827778;705762550;D09220802;352075820885354;705762551;cc5c3c3d6544
Černošice RZP;ZKL 653 - 5SB1804;5SB1804;12beeba7b73b;Ve dvoře 3, 252 09 Hradištko;D09241065;355241322850596;604779112;D09241066;355241322806655;604779032;8db69f0d9788
Brandýs nad Labem RV;ZKL 620 - 5SE8676;5SE8676;f0fdadd986be;Fr. Melichara 370, 251 01, Brandýs n. L.;D09220841;352075820880843;731137124;D09220901;352075820871412;705762540;fed7713659dc
Brandýs nad Labem RZP 1;ZKL 621 - 6SF8595;6SF8595;f7371f5e4ea5;Fr. Melichara 370, 251 01, Brandýs n. L.;D09220842;352075820885768;731137024;D09220902;352075820874515;705762541;ef3c7ac35812
Brandýs nad Labem RZP 2;ZKL 622 - 6SF8591;6SF8591;c9381b578313;Fr. Melichara 370, 251 01, Brandýs n. L.;D09220843;352075820886287;731137026;D09220903;352075820839286;705762542;401ead6acd67
Jesenice RZP;ZKL 614 - 6SR4454;6SR4454;3f644b4b7347;Budějovická 77, 252 42 Jesenice;D09220844;352075820885024;731137097;D09220904;352075820836308;705762543;ad57efe95920
Říčany RV;ZKL 610 - 4SY7701;4SY7701;1414b48a6118;Komenského nám. 1910, 251 01, Říčany;D09220845;352075820917785;731137107;D09220905;352075820884910;705762544;fd54fe8566b8
Říčany RZP 1;ZKL 611 - 5SB1804;5SB1804;bddff6852db9;Komenského nám. 1910, 251 01, Říčany;D09220846;352075820915839;731137095;D09220906;352075820870349;705762545;efc270fdf127
Říčany RZP 2;ZKL 612 - 5SB1807;5SB1807;fc0909feff26;Komenského nám. 1910, 251 01, Říčany;D09220847;352075820884589;731137094;D09220907;352075820835409;705762546;e956b03df754
Zdiby RZP;ZKL 613 - 6SR 4822;6SR 4822;ec47b40aeaab;Ústecká 98, 250 66 Zdiby;D09220848;352075821077431;605203820;D09220810;352075820883243;705764123;b0491c9210d3
IP Kladno - ZKL 130;ZKL 130 - 3SJ3909;3SJ3909;7fb27cdde9f8;;D09241061;355241322837874;703847759;;;;
IP Benešov - ZKL 120;ZKL 120 - 4SY8120;4SY8120;f11a1f79d046;;D09241062;355241322832305;703847754;;;;
IP Zdiby - ZKL 140;ZKL 140 - 4ST7500;4ST7500;c2b5cb6e1540;;D09241063;355241322547234;703847761;;;;
IP Kolín - ZKL 160;ZKL 160 - 4ST7505;4ST7505;719ddcea71b3;;D09241064;355241322828733;705762526;;;;
